timestamp,src_mac,dst_mac,ethertype,frame_size_bytes
2025-06-22 19:28:38,40:00:40:01:c9:43,45:00:00:54:72:d1,0x0800,118
2025-06-22 19:28:39,00:00:3f:01:da:2c,45:00:00:54:a2:e8,0x0800,84
2025-06-22 19:28:39,00:00:3f:01:da:2c,45:00:00:54:a2:e8,0x0800,84
2025-06-22 19:28:40,40:00:40:01:c9:0a,45:00:00:54:73:0a,0x0800,118
2025-06-22 19:28:40,40:00:40:01:c9:0a,45:00:00:54:73:0a,0x0800,118
2025-06-22 19:28:40,00:00:3f:01:d2:a6,45:00:00:54:aa:6e,0x0800,84
2025-06-22 19:28:40,00:00:3f:01:d2:a6,45:00:00:54:aa:6e,0x0800,84
2025-06-22 19:28:41,40:00:40:01:c9:00,45:00:00:54:73:14,0x0800,118
2025-06-22 19:28:41,40:00:40:01:c9:00,45:00:00:54:73:14,0x0800,118
2025-06-22 19:28:41,00:00:3f:01:41:b4,45:00:00:54:3b:61,0x0800,84
2025-06-22 19:28:41,00:00:3f:01:41:b4,45:00:00:54:3b:61,0x0800,84
2025-06-22 19:28:42,40:00:40:01:c8:ac,45:00:00:54:73:68,0x0800,118
2025-06-22 19:28:42,40:00:40:01:c8:ac,45:00:00:54:73:68,0x0800,118
2025-06-22 19:28:42,00:00:3f:01:9a:f8,45:00:00:54:e2:1c,0x0800,84
2025-06-22 19:28:42,00:00:3f:01:9a:f8,45:00:00:54:e2:1c,0x0800,84
2025-06-22 19:28:43,40:00:40:01:c8:8b,45:00:00:54:73:89,0x0800,118
2025-06-22 19:28:43,40:00:40:01:c8:8b,45:00:00:54:73:89,0x0800,118
2025-06-22 19:28:43,00:00:3f:01:6c:e5,45:00:00:54:10:30,0x0800,84
2025-06-22 19:28:43,00:00:3f:01:6c:e5,45:00:00:54:10:30,0x0800,84
2025-06-22 19:28:44,40:00:40:01:c8:46,45:00:00:54:73:ce,0x0800,118
2025-06-22 19:28:44,40:00:40:01:c8:46,45:00:00:54:73:ce,0x0800,118
2025-06-22 19:28:44,00:00:3f:01:a2:d7,45:00:00:54:da:3d,0x0800,84
2025-06-22 19:28:44,00:00:3f:01:a2:d7,45:00:00:54:da:3d,0x0800,84
2025-06-22 19:28:45,40:00:40:01:c8:27,45:00:00:54:73:ed,0x0800,118
2025-06-22 19:28:45,40:00:40:01:c8:27,45:00:00:54:73:ed,0x0800,118
2025-06-22 19:28:45,00:00:3f:01:34:26,45:00:00:54:48:ef,0x0800,84
2025-06-22 19:28:45,00:00:3f:01:34:26,45:00:00:54:48:ef,0x0800,84
2025-06-22 19:28:46,40:00:40:01:c8:1a,45:00:00:54:73:fa,0x0800,118
2025-06-22 19:28:46,40:00:40:01:c8:1a,45:00:00:54:73:fa,0x0800,118
2025-06-22 19:28:46,00:00:3f:01:95:c2,45:00:00:54:e7:52,0x0800,84
2025-06-22 19:28:46,00:00:3f:01:95:c2,45:00:00:54:e7:52,0x0800,84
2025-06-22 19:28:47,40:00:40:01:c8:18,45:00:00:54:73:fc,0x0800,118
